,upload_year_month,count
0,2016-09,8
1,2016-10,7
2,2016-11,4
3,2016-12,4
4,2017-02,6
5,2017-03,5
6,2017-04,3
7,2017-05,2
8,2017-06,10
9,2017-07,2
10,2017-08,3
11,2017-09,7
12,2017-10,4
13,2017-11,2
14,2017-12,1
15,2018-01,6
16,2018-02,3
17,2018-03,7
18,2018-04,12
19,2018-05,10
20,2018-06,10
21,2018-07,2
22,2018-09,8
23,2018-10,11
24,2018-11,5
25,2018-12,2
26,2019-01,1
27,2019-02,8
28,2019-03,16
29,2019-04,13
30,2019-05,11
31,2019-06,20
32,2019-07,16
33,2019-08,14
34,2019-09,11
35,2019-10,11
36,2019-11,11
37,2019-12,10
38,2020-01,12
39,2020-02,15
40,2020-03,15
41,2020-04,9
42,2020-05,8
43,2020-06,7
44,2020-07,8
45,2020-08,6
46,2020-09,15
47,2020-10,16
